simple_hill_climbing output
Distance 60122.4518592
Distance 60118.5387275
Distance 60114.5908419
Distance 60113.5623703
Distance 60090.5486355
Distance 60086.1929211
Distance 60021.2366235
Distance 60021.1894505
Distance 60019.3340834
Distance 60002.9036465
Distance 60002.4035078
Distance 59999.4649496
Distance 59976.3017987
Distance 59904.7513
Distance 59902.7253392
Distance 59774.8294489
Distance 59774.3293102
Distance 59679.1948807
Distance 59606.7827019
Distance 59606.5371734
Distance 59605.4097984
Distance 59493.0471467
Distance 59399.4803604
Distance 59320.5150986
Distance 59221.8153775
Distance 59205.8944248
Distance 59196.1822841
Distance 59192.3368293
Distance 59096.5585065
Distance 59094.7176607
Distance 59084.7991613
Distance 59081.3493746
Distance 58888.0757005
Distance 58886.9808228
Distance 58703.9351467
Distance 58703.4579666
Distance 58544.6392172
Distance 58365.3925084
Distance 58163.2398765
Distance 58161.1973985
Distance 57899.5815466
Distance 57896.5071071
Distance 57883.4875376
Distance 57879.6757647
Distance 57879.6106409
Distance 57756.4860619
Distance 57756.4503408
Distance 57672.3887376
Distance 57671.8082771
Distance 57651.106026
Distance 57355.8215789
Distance 57276.129007
Distance 57276.0638832
Distance 57273.3758803
Distance 56970.2452297
Distance 56952.4466436
Distance 56950.4437416
Distance 56678.9640224
Distance 56601.6688451
Distance 56595.1207478
Distance 56399.1280991
Distance 56397.1367076
Distance 56391.2965095
Distance 56385.9530669
Distance 56190.6472769
Distance 56012.0527703
Distance 56003.722863
Distance 56003.077949
Distance 56002.879526
Distance 56001.7914633
Distance 55998.9403004
Distance 55984.5988579
Distance 55807.2238518
Distance 55743.7553006
Distance 55640.5015298
Distance 55630.4944316
Distance 55614.508995
Distance 55613.9366512
Distance 55573.9710039
Distance 55474.2719158
Distance 55437.3452978
Distance 55437.3204369
Distance 55410.1193221
Distance 55403.7391489
Distance 55218.5144789
Distance 55102.9789022
Distance 55085.4494819
Distance 55084.982652
Distance 54987.3785855
Distance 54986.0879942
Distance 54950.5122189
Distance 54854.8633826
Distance 54854.1296725
Distance 54848.1027595
Distance 54845.7545217
Distance 54748.3241427
Distance 54745.88636
